Committee	CommitteeName	AddDate	AreaRegion	ParentName	ComemID	ContactID	ContactName	CompanyName	ContactAddrID	ContactAddress1	ContactAddress2	ContactCity	ContactState	ContactZip	ContactCountry	ContactPhone	MeetingID	Room	Closed	WheelChr	Day	Time	Language1	Language2	Language3	LocationId	Place	Address	City	LocBorough	State	Zip	Country	Directions	Institutional	Format1	Format2	Format3	Format4	Format5	Delete	LastChanged	longitude	latitude	ContactGP
G00156817	Common Bond Group	3/1/06	AR61603	Central Ozarks Area	184744												268063	Room 224	OPEN	TRUE	Wednesday	1830				214460		202 East First Street	West Plains		MO	65775-3271	USA		FALSE							2/2/16	-91.8513488	36.732018	
G00156817	Common Bond Group	3/1/06	AR61603	Central Ozarks Area	184744												268064	Room 224	OPEN	TRUE	Thursday	1830				214460		202 East First Street	West Plains		MO	65775-3271	USA		FALSE	BEG						2/2/16	-91.8513488	36.732018	
G00156817	Common Bond Group	3/1/06	AR61603	Central Ozarks Area	184744												268065	Room 224	OPEN	TRUE	Friday	1830				214460		202 East First Street	West Plains		MO	65775-3271	USA		FALSE	DISC						2/2/16	-91.8513488	36.732018	
G00156817	Common Bond Group	3/1/06	AR61603	Central Ozarks Area	184744												268066	Room 224	OPEN	TRUE	Saturday	1830				214460		202 East First Street	West Plains		MO	65775-3271	USA		FALSE	CPT						2/2/16	-91.8513488	36.732018	
G00207875	Freedom for Growth Group	7/25/08	AR61622	Down Home Ozark Mountain Area	25374												270245		OPEN	TRUE	Sunday	1900				203498	Serenity Club	180 Claremont Drive	Branson		MO	65616-7732	USA		FALSE	TOP	BEG					6/1/15	-93.2187426	36.6934669	
G00207875	Freedom for Growth Group	7/25/08	AR61622	Down Home Ozark Mountain Area	25374												270247		OPEN	TRUE	Monday	2000				203498	Serenity Club	180 Claremont Drive	Branson		MO	65616-7732	USA		FALSE	VAR						6/1/15	-93.2187426	36.6934669	
G00207875	Freedom for Growth Group	7/25/08	AR61622	Down Home Ozark Mountain Area	25374												300984	Use treatment entrance  ring buzzer to be let in	OPEN	TRUE	Tuesday	2000				219206	Clarity Recovery Center	360 Rinehart Road	Branson		MO	65616-9193	USA		FALSE	TOP	BEG					6/1/15	-93.2161775	36.6915397	
G00207875	Freedom for Growth Group	7/25/08	AR61622	Down Home Ozark Mountain Area	25374												270248		OPEN	TRUE	Friday	2000				203498	Serenity Club	180 Claremont Drive	Branson		MO	65616-7732	USA		FALSE	VAR						6/1/15	-93.2187426	36.6934669	
G00234060	Circle of Addicts Group	8/13/10	AR61622	Down Home Ozark Mountain Area	234059												279299		OPEN	TRUE	Monday	2000				207700	Old Homestead Club	17425 Business Highway 13	Branson West		MO	65737-9666	USA		FALSE	DISC						9/12/13	-93.3736014	36.7096827	
G00234060	Circle of Addicts Group	8/13/10	AR61622	Down Home Ozark Mountain Area	234059												279300		OPEN	TRUE	Thursday	1900				207700	Old Homestead Club	17425 Business Highway 13	Branson West		MO	65737-9666	USA		FALSE	DISC						9/12/13	-93.3736014	36.7096827	
G00234060	Circle of Addicts Group	8/13/10	AR61622	Down Home Ozark Mountain Area	234059												279301		OPEN	TRUE	Saturday	1800				207700	Old Homestead Club	17425 Business Highway 13	Branson West		MO	65737-9666	USA		FALSE	BT	DISC					9/12/13	-93.3736014	36.7096827	
G00194889	Cassville JADA Group	10/24/07	AR61622	Down Home Ozark Mountain Area	194888												265970		OPEN	TRUE	Wednesday	1900				135	Alano Clubhouse	1308 Harold Street	Cassville		MO	65625	USA		FALSE							9/12/13	-93.863166	36.683427	
G00194889	Cassville JADA Group	10/24/07	AR61622	Down Home Ozark Mountain Area	194888												265971		OPEN	TRUE	Friday	1900				135	Alano Clubhouse	1308 Harold Street	Cassville		MO	65625	USA		FALSE							9/12/13	-93.863166	36.683427	
G00194889	Cassville JADA Group	10/24/07	AR61622	Down Home Ozark Mountain Area	194888												265972		OPEN	TRUE	Saturday	1900				135	Alano Clubhouse	1308 Harold Street	Cassville		MO	65625	USA		FALSE							9/12/13	-93.863166	36.683427	
G00294322	Never Alone Group	9/12/13	AR61622	Down Home Ozark Mountain Area	282013												291180		OPEN	FALSE	Tuesday	1830				214007	Highlandville Church of Christ	388 Highlandville Road	Highlandville		MO	65669-8111	USA		FALSE	CW						9/12/13	-93.2807535	36.932846	
G00250914	We Can Do It Group	3/18/11	AR61622	Down Home Ozark Mountain Area	250912												291154		OPEN	TRUE	Tuesday	1900				209066	Chamber of Commerce	425 East Mount Vernon Boulevard	Mount Vernon		MO	65712-2046	USA	Business Route I 44 next to the caboose	FALSE	BT	DISC					3/3/15	-93.8158903	37.0943749	
G00250914	We Can Do It Group	3/18/11	AR61622	Down Home Ozark Mountain Area	250912												281474		OPEN	TRUE	Friday	1900				209066	Chamber of Commerce	425 East Mount Vernon Boulevard	Mount Vernon		MO	65712-2046	USA	Business Route I 44 next to the caboose	FALSE							3/3/15	-93.8158903	37.0943749	
G00203186	Last Resort Group	4/12/08	AR61622	Down Home Ozark Mountain Area	248194												268120		OPEN	TRUE	Monday	1800				202377	Nixa Christian Church	400 Northview Road	Nixa		MO	65714	USA		FALSE	TOP						9/12/13	-93.3013123	37.0545857	
G00294532	Priceless Recovery Group	9/18/13	AR61622	Down Home Ozark Mountain Area	282013												291230		OPEN	TRUE	Wednesday	2030				214034	THe Bridge Church	308 West Mount Vernon Street	Nixa		MO	65714	USA		FALSE	CW						9/18/13	-93.3005049	37.0436441	
G00203186	Last Resort Group	4/12/08	AR61622	Down Home Ozark Mountain Area	248194												268121		OPEN	TRUE	Thursday	1800				202377	Nixa Christian Church	400 Northview Road	Nixa		MO	65714	USA		FALSE	TOP						9/12/13	-93.3013123	37.0545857	
G00203186	Last Resort Group	4/12/08	AR61622	Down Home Ozark Mountain Area	248194												268122		OPEN	TRUE	Saturday	1730				202377	Nixa Christian Church	400 Northview Road	Nixa		MO	65714	USA		FALSE	TOP						9/12/13	-93.3013123	37.0545857	
G00294321	We Do Recover Group	9/12/13	AR61622	Down Home Ozark Mountain Area	282013												291178		OPEN	TRUE	Sunday	1900				213380	Southside Church of Christ	802 West South Street	Ozark		MO	65721-9257	USA	East side entrance	FALSE	CW						9/12/13	-93.2092209	37.0042301	
G00294323	Next Step Group	9/12/13	AR61622	Down Home Ozark Mountain Area	282013												291181		OPEN	FALSE	Wednesday	1800				214008	Ozark Presbyterian Church	1932 State Highway 14 East	Ozark		MO	65721-8974	USA		FALSE	CW						9/12/13	-93.1836602	37.0033408	
G00283818	Against All Odds Group	3/20/13	AR61622	Down Home Ozark Mountain Area	114427												289833		OPEN	TRUE	Thursday	1900				213380	Southside Church of Christ	802 West South Street	Ozark		MO	65721-9257	USA	East side entrance	FALSE	VAR						9/12/13	-93.2092209	37.0042301	
G00294321	We Do Recover Group	9/12/13	AR61622	Down Home Ozark Mountain Area	282013												291179		OPEN	TRUE	Friday	1900				213380	Southside Church of Christ	802 West South Street	Ozark		MO	65721-9257	USA	East side entrance	FALSE	CW						9/12/13	-93.2092209	37.0042301	
